GPU Memory Track | 30-Apr-23-11:05:15 | Total Tensor Used Memory:376.7  Mb Total Allocated Memory:422.0  Mb

+ | 9 * Size:()                   | Memory: 3.4332 M | <class 'torch.Tensor'> | torch.float32
+ | 21 * Size:(128, 512, 4, 4)     | Memory: 84.0 M | <class 'torch.Tensor'> | torch.float32
+ | 28 * Size:(128, 128, 16, 16)   | Memory: 448.0 M | <class 'torch.Tensor'> | torch.float32
- | 7 * Size:(128, 3, 32, 32)     | Memory: 10.5 M | <class 'torch.Tensor'> | torch.float32
- | 30 * Size:(128, 64, 32, 32)    | Memory: 960.0 M | <class 'torch.Tensor'> | torch.float32
- | 18 * Size:(128, 512, 4, 4)     | Memory: 72.0 M | <class 'torch.Tensor'> | torch.float32
- | 24 * Size:(128, 128, 16, 16)   | Memory: 384.0 M | <class 'torch.Tensor'> | torch.float32
- | 24 * Size:(128, 256, 8, 8)     | Memory: 192.0 M | <class 'torch.Tensor'> | torch.float32
- | 6 * Size:(128, 512, 1, 1)     | Memory: 1.5 M | <class 'torch.Tensor'> | torch.float32
- | 6 * Size:(128, 512)           | Memory: 1.5 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:2039.5 Mb Total Allocated Memory:2043.0 Mb

+ | 8 * Size:(128, 512, 1, 1)     | Memory: 2.0 M | <class 'torch.Tensor'> | torch.float32
+ | 32 * Size:(128, 256, 8, 8)     | Memory: 256.0 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(128, 64, 32, 32)    | Memory: 1280.0 M | <class 'torch.Tensor'> | torch.float32
+ | 32 * Size:(128, 128, 16, 16)   | Memory: 512.0 M | <class 'torch.Tensor'> | torch.float32
+ | 24 * Size:(128, 512, 4, 4)     | Memory: 96.0 M | <class 'torch.Tensor'> | torch.float32
+ | 9 * Size:(128, 3, 32, 32)     | Memory: 13.5 M | <class 'torch.Tensor'> | torch.float32
+ | 8 * Size:(128, 512)           | Memory: 2.0 M | <class 'torch.Tensor'> | torch.float32
- | 28 * Size:(128, 256, 8, 8)     | Memory: 224.0 M | <class 'torch.Tensor'> | torch.float32
- | 8 * Size:(128, 3, 32, 32)     | Memory: 12.0 M | <class 'torch.Tensor'> | torch.float32
- | 7 * Size:(128, 512, 1, 1)     | Memory: 1.75 M | <class 'torch.Tensor'> | torch.float32
- | 7 * Size:(128, 512)           | Memory: 1.75 M | <class 'torch.Tensor'> | torch.float32
- | 35 * Size:(128, 64, 32, 32)    | Memory: 1120.0 M | <class 'torch.Tensor'> | torch.float32
- | 21 * Size:(128, 512, 4, 4)     | Memory: 84.0 M | <class 'torch.Tensor'> | torch.float32
- | 28 * Size:(128, 128, 16, 16)   | Memory: 448.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:2309.5 Mb Total Allocated Memory:2313.2 Mb

+ | 36 * Size:(128, 128, 16, 16)   | Memory: 576.0 M | <class 'torch.Tensor'> | torch.float32
+ | 10 * Size:(128, 3, 32, 32)     | Memory: 15.0 M | <class 'torch.Tensor'> | torch.float32
+ | 27 * Size:(128, 512, 4, 4)     | Memory: 108.0 M | <class 'torch.Tensor'> | torch.float32
+ | 45 * Size:(128, 64, 32, 32)    | Memory: 1440.0 M | <class 'torch.Tensor'> | torch.float32
+ | 9 * Size:(128, 512)           | Memory: 2.25 M | <class 'torch.Tensor'> | torch.float32
+ | 9 * Size:(128, 512, 1, 1)     | Memory: 2.25 M | <class 'torch.Tensor'> | torch.float32
+ | 36 * Size:(128, 256, 8, 8)     | Memory: 288.0 M | <class 'torch.Tensor'> | torch.float32
- | 8 * Size:(128, 512, 1, 1)     | Memory: 2.0 M | <class 'torch.Tensor'> | torch.float32
- | 32 * Size:(128, 256, 8, 8)     | Memory: 256.0 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(128, 64, 32, 32)    | Memory: 1280.0 M | <class 'torch.Tensor'> | torch.float32
- | 32 * Size:(128, 128, 16, 16)   | Memory: 512.0 M | <class 'torch.Tensor'> | torch.float32
- | 24 * Size:(128, 512, 4, 4)     | Memory: 96.0 M | <class 'torch.Tensor'> | torch.float32
- | 9 * Size:(128, 3, 32, 32)     | Memory: 13.5 M | <class 'torch.Tensor'> | torch.float32
- | 8 * Size:(128, 512)           | Memory: 2.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:2579.5 Mb Total Allocated Memory:2583.5 Mb

+ | 40 * Size:(128, 256, 8, 8)     | Memory: 320.0 M | <class 'torch.Tensor'> | torch.float32
+ | 30 * Size:(128, 512, 4, 4)     | Memory: 120.0 M | <class 'torch.Tensor'> | torch.float32
+ | 50 * Size:(128, 64, 32, 32)    | Memory: 1600.0 M | <class 'torch.Tensor'> | torch.float32
+ | 11 * Size:(128, 3, 32, 32)     | Memory: 16.5 M | <class 'torch.Tensor'> | torch.float32
+ | 10 * Size:(128, 512)           | Memory: 2.5 M | <class 'torch.Tensor'> | torch.float32
+ | 10 * Size:(128, 512, 1, 1)     | Memory: 2.5 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(128, 128, 16, 16)   | Memory: 640.0 M | <class 'torch.Tensor'> | torch.float32
- | 36 * Size:(128, 128, 16, 16)   | Memory: 576.0 M | <class 'torch.Tensor'> | torch.float32
- | 10 * Size:(128, 3, 32, 32)     | Memory: 15.0 M | <class 'torch.Tensor'> | torch.float32
- | 27 * Size:(128, 512, 4, 4)     | Memory: 108.0 M | <class 'torch.Tensor'> | torch.float32
- | 45 * Size:(128, 64, 32, 32)    | Memory: 1440.0 M | <class 'torch.Tensor'> | torch.float32
- | 9 * Size:(128, 512)           | Memory: 2.25 M | <class 'torch.Tensor'> | torch.float32
- | 9 * Size:(128, 512, 1, 1)     | Memory: 2.25 M | <class 'torch.Tensor'> | torch.float32
- | 36 * Size:(128, 256, 8, 8)     | Memory: 288.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:2849.5 Mb Total Allocated Memory:2853.7 Mb

+ | 44 * Size:(128, 128, 16, 16)   | Memory: 704.0 M | <class 'torch.Tensor'> | torch.float32
+ | 11 * Size:(128, 512)           | Memory: 2.75 M | <class 'torch.Tensor'> | torch.float32
+ | 11 * Size:(128, 512, 1, 1)     | Memory: 2.75 M | <class 'torch.Tensor'> | torch.float32
